,Unnamed: 0,country,year,life_expectancy
0,1,Afghanistan,1800,28.21
1,3,Albania,1800,35.4
2,4,Algeria,1800,28.82
3,7,Angola,1800,26.98
4,9,Antigua and Barbuda,1800,33.54
5,10,Argentina,1800,33.2
6,11,Armenia,1800,34.0
7,12,Aruba,1800,34.42
8,13,Australia,1800,34.05
9,14,Austria,1800,34.4
10,15,Azerbaijan,1800,29.17
11,16,Bahamas,1800,35.18
12,17,Bahrain,1800,30.3
13,18,Bangladesh,1800,25.5
14,19,Barbados,1800,32.12
15,20,Belarus,1800,36.2
16,21,Belgium,1800,40.0
17,22,Belize,1800,26.5
18,23,Benin,1800,31.0
19,25,Bhutan,1800,28.8
20,26,Bolivia,1800,33.0
21,27,Bosnia and Herzegovina,1800,35.1
22,28,Botswana,1800,33.6
23,29,Brazil,1800,32.0
24,31,Brunei,1800,29.2
25,32,Bulgaria,1800,35.8
26,33,Burkina Faso,1800,29.2
27,34,Burundi,1800,31.5
28,35,Cambodia,1800,35.0
29,36,Cameroon,1800,28.75
30,37,Canada,1800,39.0
31,38,Cape Verde,1800,33.8
32,40,Central African Republic,1800,30.0
33,41,Chad,1800,30.9
34,43,Chile,1800,32.0
35,44,China,1800,32.0
36,47,Colombia,1800,32.0
37,48,Comoros,1800,32.1
38,49,"Congo, Dem. Rep.",1800,31.6
39,50,"Congo, Rep.",1800,32.7
40,52,Costa Rica,1800,30.21
41,53,Cote d'Ivoire,1800,31.16
42,54,Croatia,1800,36.1
43,55,Cuba,1800,32.2
44,56,Cyprus,1800,38.5
45,57,Czech Republic,1800,34.95
46,59,Denmark,1800,37.41
47,60,Djibouti,1800,29.9
48,62,Dominican Republic,1800,29.9
49,64,Ecuador,1800,32.9
50,65,Egypt,1800,33.0
51,66,El Salvador,1800,28.7
52,67,Equatorial Guinea,1800,29.8
53,68,Eritrea,1800,30.2
54,70,Estonia,1800,36.14
55,71,Ethiopia,1800,29.7
56,74,Fiji,1800,26.1
57,75,Finland,1800,36.57
58,76,France,1800,33.97
59,77,French Guiana,1800,30.5
60,78,French Polynesia,1800,25.6
61,79,Gabon,1800,30.6
62,80,Gambia,1800,28.8
63,81,Georgia,1800,31.87
64,82,Germany,1800,38.37
65,83,Ghana,1800,28.0
66,85,Greece,1800,36.6
67,86,Greenland,1800,33.87
68,87,Grenada,1800,31.4
69,88,Guadeloupe,1800,27.66
70,89,Guam,1800,27.5
71,90,Guatemala,1800,25.8
72,92,Guinea,1800,29.5
73,93,Guinea-Bissau,1800,32.0
74,94,Guyana,1800,31.12
75,95,Haiti,1800,29.0
76,97,Honduras,1800,33.9
77,98,"Hong Kong, China",1800,34.9
78,99,Hungary,1800,36.0
79,100,Iceland,1800,42.85
80,101,India,1800,25.44
81,102,Indonesia,1800,30.0
82,103,Iran,1800,25.6
83,104,Iraq,1800,31.2
84,105,Ireland,1800,38.3
85,107,Israel,1800,32.0
86,108,Italy,1800,29.69
87,109,Jamaica,1800,34.2
88,110,Japan,1800,36.4
89,112,Jordan,1800,31.7
90,113,Kazakhstan,1800,26.2
91,114,Kenya,1800,25.5
92,115,Kiribati,1800,24.9
93,116,North Korea,1800,26.0
94,117,South Korea,1800,25.8
95,120,Kuwait,1800,26.0
96,121,Kyrgyz Republic,1800,23.94
97,122,Lao,1800,31.9
98,123,Latvia,1800,33.0
99,124,Lebanon,1800,29.7
100,125,Lesotho,1800,32.8
101,126,Liberia,1800,31.1
